team,total_matches_played,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored_total,goals_conceded_total,goal_difference,clean_sheets,avg_goals_scored,avg_goals_conceded,shots_per_match,shots_on_target_per_match,avg_possession,pass_accuracy,long_balls_per_match,crosses_per_match,offside_per_match,corners_per_match,tackles_per_match,interceptions_per_match,fouls_per_match,yellow_cards_per_match,red_cards_per_match,xG,xGA,xG_diff,goal_conversion_rate,saves_per_match,defensive_errors,progressive_passes,counter_attack_goals,set_piece_goals,avg_player_age,avg_player_caps,avg_player_experience,avg_minutes_played,avg_player_market_value,total_squad_value,num_foreign_league_players,num_top5_league_players,avg_height,avg_weight,avg_speed,avg_shot_accuracy,avg_pass_accuracy,avg_defensive_duels_won,avg_clearances,avg_dribbles_completed,avg_aerial_duels_won,injury_rate,players_under_23,players_over_30,coach_name,coach_tenure_years,coach_age,coach_nationality_match,total_matches_under_coach,win_rate_under_coach,formation_flexibility,avg_substitutions_used,num_worldcups_played,num_finals_reached,titles_won,semi_finals_reached,quarter_finals_reached,avg_tournament_finish_position,avg_goals_per_worldcup,avg_conceded_per_worldcup,best_finish_year,last_worldcup_rank,years_since_last_final,avg_points_group_stage,knockout_win_rate,continent,home_continent_advantage,host_status,climate_similarity,altitude_similarity,travel_distance_km,avg_travel_hours,fan_support_index,timezone_difference,form_points_last5,goal_diff_last5,streak_wins,streak_losses,undefeated_streak,avg_recent_possession,avg_recent_goals,fifa_rank,fifa_points,elo_rating,elo_change_last_year,avg_opponent_elo,avg_years_playing_together,num_same_club_teammates,communication_index
Argentina,24,17,5,2,0.708,0.208,0.083,48,18,30,11,2.0,0.75,14.8,5.9,58.3,87.2,11.2,16.1,2.6,6.3,16.4,12.8,11.2,2.1,0.08,2.15,0.82,1.33,0.339,3.4,0.76,61.0,10.0,10.0,28.2,42.3,2961.0,1919.0,28.5,741.0,22,20,178.5,75.2,32.1,71.1,82.8,65.2,5.7,9.8,60.1,0.22,4,7,Lionel Scaloni,6,46,1,16,0.722,2.0,4.4,18,6,3,5,9,8.6,5.4,5.6,2022,1,4,5.1,0.505,CONMEBOL,1,0,0.62,0.79,6823.0,8.5,0.89,11.0,17,-2.0,2.0,2.0,3.0,55.5,2.13,1,1889.02,1890,-49.6,1511.8,2.4,3.0,0.84
France,22,16,4,2,0.727,0.182,0.091,52,16,36,12,2.36,0.73,16.2,6.4,59.7,88.5,10.9,10.3,3.7,6.8,15.8,13.2,10.5,1.9,0.05,2.38,0.75,1.63,0.369,3.1,0.65,45.9,4.0,7.0,26.8,38.5,2695.0,1839.0,42.3,1098.0,24,24,180.2,76.8,30.3,62.4,84.1,61.5,6.6,11.9,56.4,0.25,8,4,Didier Deschamps,12,56,1,15,0.727,3.0,3.8,16,4,2,6,8,19.7,9.8,6.9,2018,2,8,5.5,0.512,UEFA,0,0,0.84,0.72,1555.0,1.9,0.78,7.0,14,-0.0,2.0,1.0,7.0,62.2,2.58,2,1851.92,1880,63.8,1563.7,2.2,7.0,0.83
Spain,22,17,3,2,0.773,0.136,0.091,51,17,34,11,2.32,0.77,16.8,6.7,65.4,90.2,14.7,16.2,3.4,7.3,14.6,13.8,10.1,1.8,0.05,2.42,0.79,1.63,0.346,3.2,1.18,35.9,6.0,6.0,26.9,29.8,2086.0,1497.0,33.2,863.0,23,23,178.8,74.5,29.4,65.0,85.7,64.5,5.0,14.5,59.0,0.23,7,4,Luis de la Fuente,2,63,1,15,0.73,4.0,4.1,16,1,1,1,4,10.8,5.3,4.0,2010,7,16,5.8,0.523,UEFA,0,0,0.82,0.86,5443.0,6.8,0.67,10.0,16,-0.0,0.0,1.0,8.0,66.8,2.44,3,1836.42,1870,34.7,1638.8,3.2,6.0,0.94
England,21,15,5,1,0.714,0.238,0.048,49,14,35,13,2.33,0.67,15.3,6.1,57.8,86.4,11.9,12.4,2.4,6.5,15.2,12.5,9.8,1.7,0.05,2.28,0.68,1.6,0.382,2.9,1.15,57.5,5.0,10.0,26.3,32.7,2289.0,1983.0,38.6,1004.0,26,26,181.5,77.2,32.9,59.6,82.1,57.4,6.9,15.4,58.9,0.21,9,3,Gareth Southgate,8,54,1,14,0.712,3.0,4.4,16,2,1,2,6,8.1,5.0,6.9,1966,5,60,6.2,0.466,UEFA,0,0,0.61,0.85,3243.0,4.1,0.76,9.0,14,3.0,0.0,1.0,8.0,55.5,2.14,4,1817.28,1860,5.0,1686.2,2.3,5.0,0.87
Brazil,23,14,6,3,0.609,0.261,0.13,44,21,23,9,1.91,0.91,15.7,5.8,61.2,86.8,10.0,11.8,1.7,7.1,17.2,11.9,12.3,2.3,0.13,2.02,0.95,1.07,0.329,3.8,0.89,41.4,5.0,10.0,27.1,35.2,2464.0,1455.0,35.8,931.0,23,22,179.3,75.8,30.3,59.8,82.5,68.8,5.4,9.5,59.0,0.19,6,5,Dorival Junior,1,62,1,16,0.611,3.0,4.1,22,7,5,11,17,13.0,8.4,7.6,2002,6,24,3.6,0.322,CONMEBOL,1,0,0.92,0.79,6605.0,8.3,0.87,12.0,15,-1.0,4.0,0.0,7.0,62.3,1.94,5,1784.37,1850,5.9,1457.2,2.1,8.0,0.74
Belgium,20,11,6,3,0.55,0.3,0.15,37,20,17,8,1.85,1.0,13.8,5.3,55.7,84.9,9.9,14.4,1.0,5.9,17.1,11.2,11.4,2.1,0.1,1.82,0.98,0.84,0.349,4.1,0.88,38.6,4.0,15.0,28.5,45.2,3164.0,2188.0,24.3,632.0,24,22,181.4,77.3,29.4,61.7,80.7,68.6,6.1,12.7,58.7,0.16,3,8,Domenico Tedesco,2,39,0,14,0.504,2.0,4.6,14,0,0,2,5,10.4,9.4,6.8,2018,11,8,6.3,0.32,UEFA,0,0,0.92,0.91,3553.0,4.4,0.75,6.0,12,-3.0,1.0,1.0,5.0,57.3,1.78,6,1768.14,1840,69.7,1577.0,4.5,3.0,0.92
Netherlands,19,13,4,2,0.684,0.211,0.105,41,15,26,10,2.16,0.79,15.1,6.0,58.9,87.3,11.5,11.4,1.4,6.6,15.5,12.9,10.3,1.9,0.05,2.12,0.78,1.34,0.36,3.3,0.34,47.6,3.0,5.0,26.7,28.3,1981.0,1953.0,31.4,816.0,25,24,182.8,77.8,30.7,63.6,82.9,62.5,3.5,14.9,57.5,0.11,7,4,Ronald Koeman,2,61,1,13,0.695,4.0,3.8,11,3,0,5,9,13.1,8.0,5.7,2010,3,16,6.8,0.612,UEFA,0,0,0.83,0.7,8267.0,10.3,0.51,8.0,11,1.0,2.0,0.0,4.0,57.7,2.26,7,1759.95,1830,72.4,1539.1,2.0,7.0,0.68
Portugal,21,14,4,3,0.667,0.19,0.143,46,19,27,10,2.19,0.9,14.6,5.7,56.3,85.7,11.4,19.5,4.0,6.2,16.8,11.4,11.6,2.2,0.1,2.05,0.91,1.14,0.384,3.7,0.32,52.2,5.0,8.0,27.8,36.5,2555.0,1200.0,29.7,772.0,23,21,179.6,76.1,33.1,59.4,81.4,62.8,7.4,16.3,56.2,0.23,5,6,Roberto Martinez,2,51,0,14,0.67,4.0,3.6,8,0,0,2,4,17.2,11.1,4.8,1966,6,60,6.4,0.654,UEFA,0,0,0.97,0.76,10767.0,13.5,0.53,8.0,14,4.0,4.0,1.0,8.0,55.3,2.2,8,1752.78,1820,11.3,1556.6,1.9,3.0,0.67
Italy,21,13,6,2,0.619,0.286,0.095,38,16,22,11,1.81,0.76,14.2,5.5,57.4,86.1,10.3,19.6,2.8,6.1,18.3,14.2,12.1,2.3,0.1,1.89,0.73,1.16,0.329,3.6,0.79,46.0,11.0,13.0,27.2,33.8,2366.0,1498.0,26.8,697.0,24,24,181.1,76.9,33.9,64.1,81.8,61.1,4.7,17.9,58.7,0.09,6,5,Luciano Spalletti,1,65,1,14,0.658,4.0,3.7,18,6,4,8,12,16.8,6.7,4.2,2006,0,20,3.8,0.556,UEFA,0,0,1.0,0.83,5082.0,6.4,0.84,11.0,12,5.0,1.0,2.0,6.0,58.8,1.8,9,1731.51,1810,21.5,1530.4,2.1,4.0,0.8
Colombia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,12.9,11.1,3.6,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.89,59.2,11.0,15.0,27.0,30.0,2100.0,2050.0,15.0,400.0,15,10,179.0,75.5,31.9,71.6,77.9,55.5,5.5,16.3,54.1,0.1,5,5,Nestor Lorenzo,2,58,0,14,0.536,4.0,4.3,7,0,0,0,2,17.9,10.2,4.8,2014,0,12,4.6,0.446,CONMEBOL,1,0,0.62,0.82,813.0,1.0,0.56,12.0,11,1.0,2.0,1.0,9.0,54.1,1.72,10,1727.32,1800,32.2,1614.8,2.1,5.0,0.74
Germany,20,13,5,2,0.65,0.25,0.1,43,18,25,9,2.15,0.9,15.9,6.2,60.1,87.9,8.3,18.1,2.4,6.9,16.1,12.7,10.8,2.0,0.1,2.18,0.87,1.31,0.347,3.5,1.16,60.0,8.0,13.0,26.5,31.4,2198.0,2252.0,32.1,834.0,24,24,183.2,78.5,28.7,56.8,83.5,65.7,6.8,15.8,55.5,0.25,8,3,Julian Nagelsmann,1,37,1,14,0.71,3.0,4.0,20,8,4,13,16,17.3,7.4,4.1,2014,17,12,5.1,0.586,UEFA,0,0,0.7,0.76,4729.0,5.9,0.35,0.0,11,-2.0,4.0,1.0,8.0,57.4,2.02,11,1703.79,1790,0.3,1635.9,2.8,6.0,0.71
Uruguay,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.7,19.2,3.5,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.02,37.1,8.0,5.0,27.9,38.7,2709.0,1603.0,22.1,575.0,21,19,179.8,76.4,29.4,71.0,77.9,56.7,3.5,17.8,53.5,0.23,4,6,Marcelo Bielsa,1,69,0,14,0.522,3.0,4.9,14,2,2,5,8,11.5,8.9,6.1,1950,20,76,5.2,0.628,CONMEBOL,1,0,1.0,0.94,2795.0,3.5,0.31,9.0,11,3.0,3.0,3.0,4.0,53.7,1.64,12,1698.68,1780,37.9,1475.1,3.9,8.0,0.86
Croatia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.7,11.0,3.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.33,50.7,6.0,8.0,28.3,41.6,2912.0,1959.0,19.8,515.0,23,20,182.5,78.1,28.8,57.5,77.9,57.2,7.8,15.5,62.8,0.1,3,7,Zlatko Dalic,7,58,1,14,0.493,3.0,4.2,6,2,0,2,3,19.1,9.2,5.9,2018,3,8,4.8,0.369,UEFA,0,0,0.99,0.65,6493.0,8.1,0.9,11.0,11,3.0,2.0,2.0,10.0,51.0,1.63,13,1679.28,1770,28.0,1636.5,4.1,4.0,0.76
Morocco,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.5,11.6,2.5,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.0,47.1,10.0,10.0,26.8,27.4,1918.0,1705.0,18.6,484.0,20,17,179.2,74.8,29.6,69.4,77.9,56.4,7.2,12.5,55.8,0.13,7,4,Walid Regragui,2,49,1,14,0.496,3.0,3.9,6,0,0,1,1,9.2,4.8,3.8,2022,4,4,5.8,0.652,CAF,0,0,0.85,0.9,8756.0,10.9,0.45,2.0,11,-1.0,3.0,2.0,9.0,50.2,1.75,14,1676.03,1760,48.6,1652.3,4.0,4.0,0.87
Switzerland,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,13.6,10.9,1.9,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.13,45.9,10.0,12.0,27.4,34.2,2394.0,1836.0,17.3,450.0,22,18,181.7,77.6,31.9,74.2,77.9,66.0,3.3,14.6,50.9,0.11,5,5,Murat Yakin,3,50,1,14,0.521,3.0,4.3,12,0,0,0,3,10.6,12.0,4.4,1954,16,72,4.7,0.572,UEFA,0,0,0.57,0.65,5654.0,7.1,0.42,3.0,11,2.0,4.0,1.0,2.0,52.6,1.51,15,1654.46,1750,74.9,1623.3,4.3,8.0,0.93
Mexico,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.4,13.6,2.3,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.46,39.0,3.0,11.0,27.6,31.8,2226.0,2394.0,14.2,369.0,15,8,176.4,73.9,32.9,64.9,77.9,62.5,6.4,17.5,53.9,0.13,5,6,Javier Aguirre,1,66,1,14,0.504,2.0,4.8,17,0,0,0,2,16.7,6.7,6.0,1970,13,56,4.1,0.448,CONCACAF,1,1,0.53,0.63,9056.0,11.3,0.71,6.0,11,0.0,2.0,2.0,3.0,51.6,1.52,16,1648.82,1740,-43.9,1546.0,2.6,7.0,0.88
USA,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,12.4,14.7,1.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.82,49.8,10.0,13.0,25.8,28.3,1981.0,2110.0,16.8,437.0,19,14,180.3,76.2,30.1,67.4,77.9,67.6,3.0,9.1,59.0,0.09,9,3,Gregg Berhalter,3,51,1,14,0.537,3.0,4.7,11,0,0,1,2,19.6,9.5,6.2,1930,16,96,3.7,0.596,CONCACAF,1,1,0.89,1.0,2693.0,3.4,0.81,5.0,11,3.0,2.0,2.0,10.0,54.5,1.71,17,1634.25,1730,-8.3,1683.2,2.3,6.0,0.7
Japan,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.0,15.0,2.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.96,40.9,11.0,11.0,26.2,25.7,1799.0,2346.0,12.8,333.0,16,11,175.8,72.4,30.2,68.1,77.9,67.2,5.7,9.9,59.7,0.15,8,4,Hajime Moriyasu,6,56,1,14,0.471,4.0,3.8,7,0,0,0,3,11.8,8.6,5.3,2002,16,24,6.0,0.663,AFC,0,0,0.77,0.97,9637.0,12.0,0.9,5.0,11,6.0,3.0,1.0,3.0,51.9,1.51,18,1629.49,1720,50.1,1676.2,4.3,7.0,0.61
Senegal,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.3,13.8,3.0,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.45,43.3,6.0,14.0,27.1,29.4,2058.0,2103.0,15.7,408.0,22,15,180.6,76.8,28.7,67.2,77.9,68.7,6.0,14.4,52.9,0.15,6,5,Aliou Cisse,8,48,1,14,0.456,4.0,4.3,3,0,0,0,2,13.2,10.5,6.2,2002,16,24,3.0,0.663,CAF,0,0,0.55,0.73,2398.0,3.0,0.67,4.0,11,3.0,4.0,2.0,9.0,53.8,1.58,19,1623.11,1710,-9.1,1699.0,3.8,4.0,0.8
Denmark,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,13.7,12.2,3.1,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.83,42.9,3.0,13.0,27.3,33.6,2352.0,1752.0,19.2,499.0,23,19,183.1,78.9,31.2,66.1,77.9,57.8,6.6,13.2,64.4,0.19,6,4,Kasper Hjulmand,4,52,1,14,0.475,5.0,4.7,6,0,0,1,2,16.1,9.4,7.1,1998,13,28,3.3,0.625,UEFA,0,0,0.85,0.95,2494.0,3.1,0.75,0.0,11,6.0,4.0,3.0,1.0,53.4,1.51,20,1614.87,1700,62.8,1529.0,1.6,8.0,0.6
Iran,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.7,11.1,1.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.99,44.6,5.0,7.0,27.0,30.0,2100.0,2358.0,15.0,400.0,15,10,179.0,75.5,29.8,62.3,77.9,57.9,4.6,16.4,62.3,0.09,5,5,Unknown Coach,2,50,1,14,0.458,3.0,5.0,0,0,0,0,0,8.7,9.1,5.9,0,0,99,5.9,0.446,AFC,0,0,0.62,0.95,1708.0,2.1,0.83,10.0,11,-1.0,0.0,1.0,4.0,51.9,1.71,21,1597.35,1690,68.6,1574.8,3.6,5.0,0.92
